"Time (s) Run #1";"Angle (rad) Run #1";"Position (m) Run #1";"Magnetic Field Strength (100X) (T) Run #1"
18,350;1,244;0,0346;
18,400;1,253;0,0349;2,1E-5
18,450;1,264;0,0352;
18,500;1,277;0,0356;2,1E-5
18,550;1,288;0,0359;
18,600;1,304;0,0363;2,0E-5
18,650;1,321;0,0368;
18,700;1,340;0,0373;2,0E-5
18,750;1,357;0,0378;
18,800;1,374;0,0383;2,0E-5
18,850;1,393;0,0388;
18,900;1,412;0,0393;1,9E-5
18,950;1,428;0,0398;
19,000;1,445;0,0402;1,9E-5
19,050;1,461;0,0407;
19,100;1,475;0,0411;1,9E-5
19,150;1,489;0,0415;
19,200;1,506;0,0420;1,9E-5
19,250;1,525;0,0425;
19,300;1,543;0,0430;1,8E-5
19,350;1,560;0,0434;
19,400;1,579;0,0440;1,8E-5
19,450;1,598;0,0445;
19,500;1,616;0,0450;1,8E-5
19,550;1,638;0,0456;
19,600;1,660;0,0462;1,7E-5
19,650;1,684;0,0469;
19,700;1,711;0,0476;1,7E-5
19,750;1,740;0,0485;
19,800;1,769;0,0493;1,6E-5
19,850;1,797;0,0500;
19,900;1,814;0,0505;1,6E-5
19,950;1,841;0,0513;
20,000;1,869;0,0521;1,5E-5
20,050;1,898;0,0528;
20,100;1,923;0,0535;1,5E-5
20,150;1,945;0,0542;
20,200;1,968;0,0548;1,4E-5
20,250;1,992;0,0555;
20,300;2,014;0,0561;1,4E-5
20,350;2,036;0,0567;
20,400;2,053;0,0572;1,4E-5
20,450;2,069;0,0576;
20,500;2,084;0,0581;1,3E-5
20,550;2,100;0,0585;
20,600;2,114;0,0589;1,3E-5
20,650;2,130;0,0593;
20,700;2,149;0,0598;1,3E-5
20,750;2,165;0,0603;
20,800;2,183;0,0608;1,3E-5
20,850;2,202;0,0613;
20,900;2,218;0,0618;1,2E-5
20,950;2,235;0,0623;
21,000;2,256;0,0628;1,2E-5
21,050;2,276;0,0634;
21,100;2,298;0,0640;1,2E-5
21,150;2,322;0,0647;
21,200;2,342;0,0652;1,2E-5
21,250;2,356;0,0656;
21,300;2,370;0,0660;1,1E-5
21,350;2,386;0,0665;
21,400;2,408;0,0671;1,1E-5
21,450;2,436;0,0679;
21,500;2,468;0,0687;1,1E-5
21,550;2,494;0,0695;
21,600;2,523;0,0703;1,0E-5
21,650;2,551;0,0710;
21,700;2,581;0,0719;1,0E-5
21,750;2,611;0,0727;
21,800;2,641;0,0735;9,6E-6
21,850;2,661;0,0741;
21,900;2,677;0,0745;9,5E-6
21,950;2,697;0,0751;
22,000;2,719;0,0757;9,2E-6
22,050;2,738;0,0763;
22,100;2,757;0,0768;9,0E-6
22,150;2,771;0,0772;
22,200;2,787;0,0776;8,9E-6
22,250;2,807;0,0782;
22,300;2,827;0,0787;8,7E-6
22,350;2,845;0,0792;
22,400;2,862;0,0797;8,5E-6
22,450;2,882;0,0803;
22,500;2,903;0,0808;8,2E-6
22,550;2,926;0,0815;
22,600;2,947;0,0821;8,0E-6
22,650;2,966;0,0826;
22,700;2,986;0,0832;7,8E-6
22,750;3,007;0,0837;
22,800;3,030;0,0844;7,6E-6
22,850;3,054;0,0850;
22,900;3,082;0,0858;7,3E-6
22,950;3,107;0,0865;
23,000;3,129;0,0871;7,1E-6
23,050;3,151;0,0878;
23,100;3,175;0,0884;7,0E-6
23,150;3,195;0,0890;
23,200;3,214;0,0895;6,8E-6
23,250;3,237;0,0902;
23,300;3,264;0,0909;6,6E-6
23,350;3,291;0,0917;
23,400;3,314;0,0923;6,4E-6
23,450;3,338;0,0930;
23,500;3,366;0,0938;6,2E-6
23,550;3,393;0,0945;
23,600;3,416;0,0952;6,0E-6
23,650;3,440;0,0958;
23,700;3,459;0,0963;5,8E-6
23,750;3,475;0,0968;
23,800;3,493;0,0973;5,8E-6
23,850;3,512;0,0978;
23,900;3,523;0,0981;5,7E-6
23,950;3,534;0,0984;
24,000;3,542;0,0987;5,6E-6
24,050;3,553;0,0990;
24,100;3,564;0,0993;5,5E-6
24,150;3,575;0,0996;
24,200;3,586;0,0999;5,4E-6
24,250;3,599;0,1002;
24,300;3,618;0,1008;5,4E-6
24,350;3,640;0,1014;
24,400;3,660;0,1019;5,2E-6
24,450;3,682;0,1025;
24,500;3,701;0,1031;5,0E-6
24,550;3,718;0,1036;
24,600;3,734;0,1040;5,0E-6
24,650;3,745;0,1043;
24,700;3,751;0,1045;4,9E-6
24,750;3,757;0,1046;
24,800;3,760;0,1047;4,9E-6
24,850;3,770;0,1050;
24,900;3,787;0,1055;4,8E-6
24,950;3,812;0,1062;
25,000;3,834;0,1068;4,6E-6
25,050;3,853;0,1073;
25,100;3,864;0,1076;4,5E-6
25,150;3,870;0,1078;
25,200;3,878;0,1080;4,5E-6
25,250;3,892;0,1084;
25,300;3,905;0,1088;4,5E-6
25,350;3,913;0,1090;
25,400;3,921;0,1092;4,5E-6
25,450;3,929;0,1094;
25,500;3,938;0,1097;4,4E-6
25,550;3,947;0,1099;
25,600;3,962;0,1103;4,3E-6
25,650;3,976;0,1107;
25,700;3,990;0,1111;4,2E-6
25,750;4,006;0,1116;
25,800;4,015;0,1118;4,2E-6
25,850;4,028;0,1122;
25,900;4,039;0,1125;4,2E-6
25,950;4,051;0,1128;
26,000;4,065;0,1132;4,1E-6
26,050;4,079;0,1136;
26,100;4,093;0,1140;4,1E-6
26,150;4,108;0,1144;
26,200;4,125;0,1149;3,9E-6
26,250;4,144;0,1154;
26,300;4,164;0,1160;3,9E-6
26,350;4,181;0,1165;
26,400;4,199;0,1169;3,8E-6
26,450;4,219;0,1175;
26,500;4,244;0,1182;3,7E-6
26,550;4,271;0,1190;
26,600;4,291;0,1195;3,6E-6
26,650;4,302;0,1198;
26,700;4,313;0,1201;3,5E-6
26,750;4,323;0,1204;
26,800;4,334;0,1207;3,5E-6
26,850;4,345;0,1210;
26,900;4,359;0,1214;3,4E-6
26,950;4,373;0,1218;
27,000;4,389;0,1222;3,3E-6
27,050;4,403;0,1226;
27,100;4,419;0,1231;3,3E-6
27,150;4,431;0,1234;
27,200;4,444;0,1238;3,3E-6
27,250;4,453;0,1240;
27,300;4,463;0,1243;3,3E-6
27,350;4,472;0,1246;
27,400;4,478;0,1247;3,3E-6
27,450;4,488;0,1250;
27,500;4,499;0,1253;3,3E-6
27,550;4,511;0,1256;
27,600;4,524;0,1260;3,2E-6
27,650;4,536;0,1263;
27,700;4,551;0,1267;3,2E-6
27,750;4,563;0,1271;
27,800;4,574;0,1274;3,1E-6
27,850;4,587;0,1277;
27,900;4,598;0,1281;3,1E-6
27,950;4,612;0,1284;
28,000;4,623;0,1288;3,0E-6
28,050;4,632;0,1290;
28,100;4,640;0,1292;3,0E-6
28,150;4,650;0,1295;
28,200;4,662;0,1298;3,0E-6
28,250;4,678;0,1303;
28,300;4,694;0,1307;2,9E-6
28,350;4,711;0,1312;
28,400;4,730;0,1317;2,8E-6
28,450;4,752;0,1323;
28,500;4,775;0,1330;2,8E-6
28,550;4,796;0,1336;
28,600;4,813;0,1340;2,6E-6
28,650;4,832;0,1346;
28,700;4,854;0,1352;2,6E-6
28,750;4,877;0,1358;
28,800;4,898;0,1364;2,6E-6
28,850;4,913;0,1368;
28,900;4,931;0,1373;2,5E-6
28,950;4,951;0,1379;
29,000;4,970;0,1384;2,4E-6
29,050;4,989;0,1389;
29,100;5,008;0,1395;2,4E-6
29,150;5,027;0,1400;
29,200;5,045;0,1405;2,3E-6
29,250;5,066;0,1411;
29,300;5,083;0,1416;2,3E-6
29,350;5,099;0,1420;
29,400;5,116;0,1425;2,3E-6
29,450;5,132;0,1429;
29,500;5,143;0,1432;2,2E-6
29,550;5,152;0,1435;
29,600;5,163;0,1438;2,2E-6
29,650;5,176;0,1442;
29,700;5,187;0,1445;2,2E-6
29,750;5,195;0,1447;
29,800;5,198;0,1448;2,2E-6
29,850;5,199;0,1448;
29,900;5,204;0,1449;2,2E-6
29,950;5,213;0,1452;
30,000;5,221;0,1454;2,1E-6
30,050;5,231;0,1457;
30,100;5,242;0,1460;2,1E-6
30,150;5,253;0,1463;
30,200;5,267;0,1467;2,1E-6
30,250;5,281;0,1471;
30,300;5,295;0,1475;2,1E-6
30,350;5,309;0,1479;
30,400;5,320;0,1482;2,0E-6
30,450;5,328;0,1484;
30,500;5,333;0,1485;2,0E-6
30,550;5,338;0,1487;
