"Time (s) Run #2";"Angle (rad) Run #2";"Position (m) Run #2";"Magnetic Field Strength (100X) (T) Run #2"
25,900;3,465;0,0965;1,4E-5
26,000;3,566;0,0993;1,3E-5
26,100;3,688;0,1027;1,3E-5
26,200;3,806;0,1060;1,2E-5
26,300;3,924;0,1093;1,1E-5
26,400;4,048;0,1127;1,0E-5
26,500;4,163;0,1159;9,6E-6
26,600;4,273;0,1190;9,1E-6
26,700;4,373;0,1218;8,5E-6
26,800;4,458;0,1242;8,2E-6
26,900;4,540;0,1264;7,8E-6
27,000;4,618;0,1286;7,5E-6
27,100;4,700;0,1309;7,2E-6
27,200;4,777;0,1330;6,9E-6
27,300;4,852;0,1351;6,6E-6
27,400;4,918;0,1370;6,4E-6
27,500;4,976;0,1386;6,2E-6
27,600;5,052;0,1407;6,0E-6
27,700;5,129;0,1428;5,7E-6
27,800;5,202;0,1449;5,5E-6
27,900;5,278;0,1470;5,3E-6
28,000;5,345;0,1489;5,1E-6
28,100;5,408;0,1506;5,0E-6
28,200;5,459;0,1520;4,9E-6
28,300;5,504;0,1533;4,8E-6
28,400;5,550;0,1546;4,7E-6
28,500;5,586;0,1556;4,5E-6
28,600;5,614;0,1564;4,5E-6
28,700;5,649;0,1573;4,5E-6
28,800;5,680;0,1582;4,4E-6
28,900;5,707;0,1589;4,4E-6
29,000;5,748;0,1601;4,3E-6
29,100;5,785;0,1611;4,2E-6
29,200;5,825;0,1622;4,1E-6
29,300;5,868;0,1634;4,1E-6
29,400;5,936;0,1653;3,9E-6
29,500;6,002;0,1672;3,8E-6
29,600;6,033;0,1680;3,7E-6
29,700;6,055;0,1687;3,6E-6
29,800;6,070;0,1690;3,6E-6
29,900;6,088;0,1696;3,6E-6
30,000;6,112;0,1702;3,6E-6
30,100;6,118;0,1704;3,6E-6
30,200;6,118;0,1704;3,6E-6
30,300;6,118;0,1704;3,5E-6
30,400;6,117;0,1704;3,6E-6
30,500;6,117;0,1704;3,5E-6
30,600;6,115;0,1703;3,6E-6
30,700;6,115;0,1703;3,5E-6
30,800;6,115;0,1703;3,6E-6
30,900;6,115;0,1703;3,6E-6
31,000;6,115;0,1703;3,6E-6
31,100;6,115;0,1703;3,6E-6
31,200;6,114;0,1703;3,6E-6
31,300;6,109;0,1701;3,6E-6
31,400;6,106;0,1701;3,6E-6
31,500;6,098;0,1698;3,6E-6
31,600;6,082;0,1694;3,6E-6
31,700;6,079;0,1693;3,6E-6
31,800;6,079;0,1693;3,6E-6
31,900;6,079;0,1693;3,6E-6
32,000;6,081;0,1694;3,6E-6
32,100;6,082;0,1694;3,6E-6
32,200;6,084;0,1694;3,5E-6
32,300;6,084;0,1694;3,6E-6
32,400;6,084;0,1694;3,6E-6
32,500;6,085;0,1695;3,6E-6
32,600;6,085;0,1695;3,6E-6
32,700;6,085;0,1695;3,7E-6
32,800;6,085;0,1695;3,6E-6
32,900;6,085;0,1695;3,6E-6
33,000;6,085;0,1695;3,7E-6
33,100;6,085;0,1695;3,7E-6
33,200;6,085;0,1695;3,7E-6
33,300;6,085;0,1695;3,6E-6
33,400;6,085;0,1695;3,6E-6
33,500;6,085;0,1695;3,6E-6
33,600;6,085;0,1695;3,6E-6
33,700;6,085;0,1695;3,6E-6
33,800;6,085;0,1695;3,6E-6
33,900;6,085;0,1695;3,5E-6
34,000;6,085;0,1695;3,6E-6
34,100;6,085;0,1695;3,6E-6
34,200;6,085;0,1695;3,6E-6
34,300;6,085;0,1695;3,6E-6
34,400;6,085;0,1695;3,6E-6
34,500;6,085;0,1695;3,6E-6
34,600;6,085;0,1695;3,6E-6
34,700;6,085;0,1695;3,7E-6
34,800;6,085;0,1695;3,7E-6
34,900;6,085;0,1695;3,6E-6
35,000;6,085;0,1695;3,7E-6
35,100;6,085;0,1695;3,7E-6
35,200;6,085;0,1695;3,7E-6
35,300;6,085;0,1695;3,6E-6
35,400;6,085;0,1695;3,6E-6
35,500;6,085;0,1695;3,6E-6
35,600;6,085;0,1695;3,6E-6
35,700;6,085;0,1695;3,6E-6
35,800;6,085;0,1695;3,6E-6
35,900;6,085;0,1695;3,6E-6
36,000;6,085;0,1695;3,6E-6
36,100;6,085;0,1695;3,6E-6
36,200;6,085;0,1695;3,6E-6
36,300;6,085;0,1695;3,5E-6
36,400;6,085;0,1695;3,6E-6
36,500;6,085;0,1695;3,6E-6
36,600;6,085;0,1695;3,6E-6
36,700;6,085;0,1695;3,6E-6
36,800;6,085;0,1695;3,7E-6
36,900;6,085;0,1695;3,6E-6
37,000;6,085;0,1695;3,6E-6
37,100;6,085;0,1695;3,6E-6
37,200;6,085;0,1695;3,6E-6
37,300;6,085;0,1695;3,6E-6
37,400;6,085;0,1695;3,6E-6
37,500;6,085;0,1695;3,6E-6
37,600;6,085;0,1695;3,6E-6
37,700;6,085;0,1695;3,7E-6
37,800;6,085;0,1695;3,7E-6
37,900;6,085;0,1695;3,6E-6
38,000;6,084;0,1694;3,6E-6
38,100;6,084;0,1694;3,6E-6
38,200;6,082;0,1694;3,6E-6
38,300;6,082;0,1694;3,6E-6
38,400;6,081;0,1694;3,7E-6
38,500;6,081;0,1694;3,6E-6
38,600;6,079;0,1693;3,7E-6
38,700;6,079;0,1693;3,6E-6
38,800;6,079;0,1693;3,7E-6
38,900;6,079;0,1693;3,7E-6
39,000;6,079;0,1693;3,6E-6
39,100;6,079;0,1693;3,7E-6
39,200;6,079;0,1693;3,6E-6
39,300;6,079;0,1693;3,6E-6
39,400;6,079;0,1693;3,6E-6
39,500;6,079;0,1693;3,6E-6
39,600;6,079;0,1693;3,6E-6
39,700;6,079;0,1693;3,5E-6
39,800;6,079;0,1693;3,5E-6
39,900;6,079;0,1693;3,6E-6
40,000;6,081;0,1694;3,6E-6
40,100;6,081;0,1694;3,6E-6
40,200;6,081;0,1694;3,6E-6
40,300;6,081;0,1694;3,6E-6
40,400;6,081;0,1694;3,6E-6
40,500;6,079;0,1693;3,6E-6
40,600;6,079;0,1693;3,6E-6
40,700;6,079;0,1693;3,6E-6
40,800;6,079;0,1693;3,6E-6
40,900;6,079;0,1693;3,5E-6
41,000;6,079;0,1693;3,6E-6
41,100;6,079;0,1693;3,6E-6
41,200;6,079;0,1693;3,6E-6
41,300;6,079;0,1693;3,6E-6
41,400;6,079;0,1693;3,6E-6
41,500;6,079;0,1693;3,6E-6
41,600;6,079;0,1693;3,6E-6
41,700;6,079;0,1693;3,6E-6
41,800;6,079;0,1693;3,6E-6
41,900;6,079;0,1693;3,6E-6
42,000;6,079;0,1693;3,6E-6
42,100;6,079;0,1693;3,6E-6
42,200;6,079;0,1693;3,6E-6
42,300;6,079;0,1693;3,6E-6
42,400;6,079;0,1693;3,5E-6
42,500;6,079;0,1693;3,5E-6
42,600;6,079;0,1693;3,5E-6
42,700;6,079;0,1693;3,5E-6
42,800;6,079;0,1693;3,5E-6
42,900;6,079;0,1693;3,6E-6
43,000;6,079;0,1693;3,5E-6
43,100;6,079;0,1693;3,6E-6
43,200;6,079;0,1693;3,6E-6
43,300;6,079;0,1693;3,6E-6
43,400;6,079;0,1693;3,6E-6
43,500;6,079;0,1693;3,6E-6
43,600;6,079;0,1693;3,6E-6
43,700;6,079;0,1693;3,5E-6
43,800;6,079;0,1693;3,5E-6
43,900;6,079;0,1693;3,5E-6
44,000;6,079;0,1693;3,5E-6
44,100;6,079;0,1693;3,5E-6
44,200;6,079;0,1693;3,6E-6
44,300;6,079;0,1693;3,5E-6
44,400;6,079;0,1693;3,5E-6
44,500;6,079;0,1693;3,5E-6
44,600;6,077;0,1693;3,5E-6
44,700;6,077;0,1693;3,6E-6
44,800;6,077;0,1693;3,6E-6
44,900;6,077;0,1693;3,6E-6
45,000;6,079;0,1693;3,6E-6
45,100;6,081;0,1694;3,5E-6
45,200;6,084;0,1694;3,6E-6
45,300;6,084;0,1694;3,6E-6
45,400;6,084;0,1694;3,5E-6
45,500;6,084;0,1694;3,5E-6
45,600;6,084;0,1694;3,5E-6
45,700;6,084;0,1694;3,5E-6
45,800;6,084;0,1694;3,5E-6
45,900;6,084;0,1694;3,6E-6
46,000;6,084;0,1694;3,6E-6
46,100;6,084;0,1694;3,6E-6
46,200;6,084;0,1694;3,6E-6
46,300;6,084;0,1694;3,6E-6
46,400;6,084;0,1694;3,7E-6
46,500;6,084;0,1694;3,6E-6
46,600;6,084;0,1694;3,6E-6
46,700;6,084;0,1694;3,6E-6
46,800;6,084;0,1694;3,6E-6
46,900;6,084;0,1694;3,6E-6
47,000;6,084;0,1694;3,6E-6
47,100;6,084;0,1694;3,6E-6
47,200;6,084;0,1694;3,6E-6
47,300;6,084;0,1694;3,6E-6
47,400;6,084;0,1694;3,6E-6
47,500;6,084;0,1694;3,5E-6
47,600;6,084;0,1694;3,5E-6
47,700;6,084;0,1694;3,5E-6
47,800;6,084;0,1694;3,5E-6
47,900;6,084;0,1694;3,5E-6
48,000;6,084;0,1694;3,6E-6
48,100;6,084;0,1694;3,5E-6
48,200;6,084;0,1694;3,5E-6
48,300;6,084;0,1694;3,5E-6
48,400;6,084;0,1694;3,5E-6
